# MESSENGER FIPS field-of-view pixel to spherical coordinate mapping                  
# Created:                                                                            
#       X       Y         V_POLAR       V_AZIMUTH PIXEL_SOLID_ANG       PIXEL_EFF QUAL
#     [1]     [1]         Degrees         Degrees       Steradian             [1]  [1]
       23      32       3.841e+01       1.714e+02       5.505e-03       1.185e+00    0
       23      33       3.758e+01       1.778e+02       6.289e-03       6.342e-01    0
       23      34       3.719e+01       1.845e+02       6.150e-03       8.285e-01    0
       23      35       3.729e+01       1.912e+02       5.410e-03       9.480e-01    0
       23      36       3.786e+01       1.978e+02       5.227e-03       4.578e-01    0
       23      37       3.887e+01       2.041e+02       5.260e-03       2.275e-01    0
       23      38       4.026e+01       2.100e+02       4.550e-03       1.356e+00    0
       23      39       4.197e+01       2.154e+02       4.767e-03       5.344e-01    0
       23      40       4.394e+01       2.203e+02       4.385e-03       5.628e-01    0
       23      41       4.613e+01       2.247e+02       4.152e-03       1.729e+00    0
       23      42       4.851e+01       2.286e+02       4.106e-03       7.398e-01    0
       23      43       5.106e+01       2.321e+02       4.037e-03       1.107e+00    0
       23      44       5.380e+01       2.352e+02       4.210e-03       9.873e-01    0
       23      45       5.675e+01       2.380e+02       4.118e-03       1.009e+00    0
       23      46       5.995e+01       2.405e+02       4.267e-03       8.813e-01    0
       23      47       6.343e+01       2.427e+02       4.416e-03       5.589e-01    0
       23      48       6.727e+01       2.446e+02       4.556e-03       4.883e-01    0
       23      49       7.152e+01       2.464e+02       4.378e-03       9.020e-01    0
       24      19       7.181e+01       1.227e+02       4.979e-03       3.638e-01    0
       24      20       6.738e+01       1.242e+02       4.008e-03       1.067e+00    0
       24      21       6.337e+01       1.260e+02       4.635e-03       1.196e+00    0
       24      22       5.971e+01       1.279e+02       4.198e-03       8.474e-01    0
       24      23       5.634e+01       1.301e+02       3.794e-03       1.828e+00    0
       24      24       5.321e+01       1.326e+02       4.085e-03       1.221e+00    0
       24      25       5.026e+01       1.354e+02       4.742e-03       9.904e-01    0
       24      26       4.746e+01       1.387e+02       4.495e-03       1.999e+00    0
       24      27       4.479e+01       1.423e+02       5.016e-03       1.574e+00    0
       24      28       4.227e+01       1.465e+02       5.089e-03       1.845e+00    0
       24      29       3.991e+01       1.513e+02       5.454e-03       1.405e+00    0
       24      30       3.776e+01       1.567e+02       5.783e-03       1.284e+00    0
       24      31       3.589e+01       1.628e+02       5.948e-03       1.048e+00    0
       24      32       3.441e+01       1.695e+02       6.021e-03       1.536e+00    0
       24      33       3.340e+01       1.767e+02       6.567e-03       1.116e+00    0
       24      34       3.293e+01       1.842e+02       5.890e-03       8.745e-01    0
       24      35       3.305e+01       1.918e+02       6.256e-03       8.646e-01    0
       24      36       3.374e+01       1.993e+02       6.058e-03       2.006e-01    0
       24      37       3.495e+01       2.063e+02       5.770e-03       6.318e-01    0
       24      38       3.660e+01       2.127e+02       5.266e-03       9.089e-01    0
       24      39       3.859e+01       2.185e+02       4.850e-03       7.633e-01    0
       24      40       4.083e+01       2.237e+02       4.747e-03       3.025e-01    0
       24      41       4.327e+01       2.282e+02       4.585e-03       3.250e-01    0
       24      42       4.585e+01       2.322e+02       4.174e-03       7.278e-01    0
       24      43       4.856e+01       2.357e+02       4.148e-03       2.116e+00    0
       24      44       5.142e+01       2.387e+02       4.343e-03       1.612e+00    0
       24      45       5.444e+01       2.414e+02       4.283e-03       1.229e+00    0
       24      46       5.766e+01       2.438e+02       4.182e-03       8.610e-01    0
       24      47       6.114e+01       2.459e+02       4.613e-03       5.111e-01    0
       24      48       6.493e+01       2.478e+02       4.772e-03       4.729e-01    0
       24      49       6.910e+01       2.494e+02       5.200e-03       1.125e+00    0
       24      50       7.373e+01       2.509e+02       0.000e+00       0.000e+00    1
       25      18       7.453e+01       1.183e+02       4.512e-03       9.253e-01    0
       25      19       6.969e+01       1.196e+02       4.370e-03       1.030e+00    0
       25      20       6.533e+01       1.210e+02       4.473e-03       1.009e+00    0
       25      21       6.136e+01       1.226e+02       4.040e-03       6.683e-01    0
       25      22       5.771e+01       1.244e+02       4.113e-03       1.663e+00    0
       25      23       5.431e+01       1.265e+02       4.155e-03       1.339e+00    0
       25      24       5.111e+01       1.288e+02       4.382e-03       1.214e+00    0
       25      25       4.804e+01       1.315e+02       4.766e-03       2.264e+00    0
       25      26       4.507e+01       1.346e+02       4.845e-03       1.171e+00    0
       25      27       4.218e+01       1.383e+02       5.064e-03       1.800e+00    0
       25      28       3.938e+01       1.425e+02       5.374e-03       1.449e+00    0
       25      29       3.669e+01       1.474e+02       5.878e-03       1.765e+00    0
       25      30       3.418e+01       1.531e+02       6.225e-03       9.596e-01    0
       25      31       3.195e+01       1.596e+02       6.412e-03       1.035e+00    0
       25      32       3.013e+01       1.671e+02       6.754e-03       8.206e-01    0
       25      33       2.886e+01       1.752e+02       6.173e-03       1.697e+00    0
       25      34       2.827e+01       1.839e+02       6.692e-03       5.364e-01    0
       25      35       2.842e+01       1.926e+02       6.671e-03       3.383e-01    0
       25      36       2.930e+01       2.011e+02       6.217e-03       1.452e+00    0
       25      37       3.080e+01       2.090e+02       5.859e-03       4.148e-01    0
       25      38       3.280e+01       2.161e+02       5.756e-03       6.534e-01    0
       25      39       3.516e+01       2.223e+02       5.537e-03       2.229e-01    0
       25      40       3.775e+01       2.277e+02       4.858e-03       6.134e-01    0
       25      41       4.049e+01       2.323e+02       4.584e-03       7.960e-01    0
       25      42       4.333e+01       2.363e+02       4.658e-03       9.973e-01    0
       25      43       4.625e+01       2.397e+02       4.247e-03       1.754e+00    0
       25      44       4.926e+01       2.426e+02       3.997e-03       2.117e+00    0
       25      45       5.238e+01       2.452e+02       4.179e-03       6.406e-01    0
       25      46       5.565e+01       2.474e+02       4.365e-03       8.224e-01    0
       25      47       5.914e+01       2.493e+02       4.001e-03       1.496e+00    0
       25      48       6.291e+01       2.511e+02       4.979e-03       6.519e-01    0
       25      49       6.703e+01       2.526e+02       5.147e-03       0.000e+00    1
       25      50       7.157e+01       2.540e+02       0.000e+00       0.000e+00    1
       26      18       7.266e+01       1.152e+02       4.749e-03       6.424e-01    0
       26      19       6.790e+01       1.163e+02       4.576e-03       8.813e-01    0
       26      20       6.359e+01       1.176e+02       4.141e-03       1.154e+00    0
       26      21       5.964e+01       1.190e+02       4.214e-03       1.936e+00    0
       26      22       5.599e+01       1.207e+02       4.254e-03       1.185e+00    0
       26      23       5.254e+01       1.225e+02       4.046e-03       1.413e+00    0
       26      24       4.925e+01       1.247e+02       4.254e-03       2.030e+00    0
       26      25       4.604e+01       1.272e+02       4.787e-03       1.450e+00    0
       26      26       4.287e+01       1.301e+02       5.174e-03       1.696e+00    0
       26      27       3.972e+01       1.336e+02       5.764e-03       1.571e+00    0
       26      28       3.658e+01       1.377e+02       5.837e-03       1.306e+00    0
       26      29       3.349e+01       1.426e+02       6.584e-03       1.511e+00    0
       26      30       3.052e+01       1.486e+02       6.756e-03       6.393e-01    0
       26      31       2.781e+01       1.556e+02       7.028e-03       7.430e-01    0
       26      32       2.553e+01       1.639e+02       6.865e-03       4.072e-01    0
       26      33       2.390e+01       1.732e+02       6.903e-03       1.387e+00    0
       26      34       2.314e+01       1.834e+02       6.989e-03       1.064e+00    0
       26      35       2.333e+01       1.937e+02       6.746e-03       3.298e-01    0
       26      36       2.446e+01       2.036e+02       7.266e-03       1.298e+00    0
       26      37       2.638e+01       2.126e+02       6.639e-03       7.321e-01    0
       26      38       2.886e+01       2.204e+02       6.180e-03       1.623e+00    0
       26      39       3.169e+01       2.269e+02       5.756e-03       8.712e-01    0
       26      40       3.472e+01       2.324e+02       5.625e-03       5.506e-01    0
       26      41       3.784e+01       2.370e+02       4.963e-03       1.248e+00    0
       26      42       4.098e+01       2.409e+02       4.503e-03       1.324e+00    0
       26      43       4.414e+01       2.441e+02       4.133e-03       6.824e-01    0
       26      44       4.732e+01       2.469e+02       4.360e-03       3.178e-01    0
       26      45       5.056e+01       2.492e+02       4.103e-03       9.467e-01    0
       26      46       5.391e+01       2.513e+02       4.292e-03       5.662e-01    0
       26      47       5.742e+01       2.530e+02       4.481e-03       7.663e-01    0
       26      48       6.119e+01       2.546e+02       4.101e-03       5.002e-01    0
       26      49       6.527e+01       2.559e+02       5.092e-03       0.000e+00    1
       26      50       6.975e+01       2.571e+02       4.959e-03       0.000e+00    1
       26      51       7.472e+01       2.582e+02       0.000e+00       0.000e+00    1
       27      18       7.113e+01       1.120e+02       4.697e-03       7.007e-01    0
       27      19       6.642e+01       1.129e+02       4.262e-03       1.050e+00    0
       27      20       6.215e+01       1.140e+02       4.345e-03       6.492e-01    0
       27      21       5.821e+01       1.153e+02       3.914e-03       1.978e+00    0
       27      22       5.454e+01       1.167e+02       4.419e-03       1.765e+00    0
       27      23       5.104e+01       1.183e+02       3.969e-03       1.366e+00    0
       27      24       4.764e+01       1.202e+02       4.554e-03       1.751e+00    0
       27      25       4.428e+01       1.224e+02       4.992e-03       1.431e+00    0
